State,Entries19,Entries20,Distance19,Distance20
AK,1,4,3794.665887,4377.352947
AL,28,18,843.4358902,1047.877575
AR,19,15,713.035258,821.3843378
AZ,12,42,1215.761631,2300.9395
CA,528,840,585.3362851,1139.167777
CO,10,12,861.4520828,1609.389217
CT,3,2,204.4560294,204.4560294
DC,5,16,391.4223286,919.3526357
DE,0,0,0,0
FL,162,183,1451.975072,1574.143826
GA,20,30,1138.836666,1480.113575
HI,0,6,0,4720.641088
IA,68,80,521.3765306,975.4480649
ID,11,14,609.370961,1191.614144
IL,48,14,603.3391424,850.0650799
IN,4,1,320.6411793,1054.550751
KS,0,0,0,0
KY,9,2,145.0994318,0
LA,32,23,384.5063122,832.4195846
MA,69,104,671.2707434,1544.7059
MD,31,27,633.3209276,1146.817032
ME,0,22,0,3457.89455
MI,0,7,0,1286.479012
MN,80,99,173.0794249,585.2660725
MO,3,3,448.3624288,719.6220491
MS,4,5,779.4151745,548.1909413
MT,0,0,0,0
NC,73,77,522.9160713,669.1243038
ND,1,2,486.2380256,486.2380256
NE,38,26,613.5624434,643.9419576
NH,2,11,318.4600584,2988.036894
NJ,128,128,355.2707522,1002.090366
NM,9,21,1483.070804,1398.455033
NV,5,12,924.3811076,1322.660936
NY,210,204,606.2835626,1155.980666
OH,25,26,648.2205562,582.56719
OK,13,16,464.6001924,653.5821675
OR,13,27,1511.453881,1831.622102
PA,52,72,642.7948693,1006.443371
PR,0,0,0,0
RI,2,0,1950.600958,0
SC,0,5,0,797.0851807
SD,10,12,564.3798201,821.4222965
TN,0,0,0,0
TX,537,539,334.6909696,972.1763434
UT,34,41,336.804611,1287.143346
VA,34,18,677.3253842,1102.897809
VT,0,0,0,0
WA,52,65,657.6528681,1065.798312
WI,7,18,414.5022541,991.1723859
WV,0,6,0,1802.72938
WY,1,2,524.8479153,847.0972845
