Tourn Name,Dates,Year,Location,State
alta15,12/3 to 12/5,2015,None,UT/US
alta16,12/1 to 12/3,2016,None,UT/US
alta17,11/30 to 12/2,2017,Sandy,UT/US
alta18,11/29 to 12/1,2018,None,UT/US
alta19,12/5 to 12/7,2019,Sandy,Utah
alta20,12/3 to 12/5,2020,ONLINE,UT/US
applevalley15,11/6 to 11/8,2015,None,MN/US
applevalley16,11/3 to 11/5,2016,Minneapolis,MN/US
applevalley17,11/3 to 11/5,2017,Apple Valley,MN/US
applevalley18,11/2 to 11/4,2018,Apple Valley,MN/US
applevalley19,11/8 to 11/10,2019,Apple Valley,MN/US
applevalley20,11/6 to 11/8,2020,NSDA Campus,MN/US
arthurschool20,10/1 to 10/4,2020,NSDA Campus,LA/US
asu16,1/7 to 1/9,2016,None,AZ/US
asu17,1/5 to 1/8,2017,Tempe,AZ/US
asu18,1/5 to 1/7,2018,Tempe,AZ/US
asu19,1/4 to 1/6,2019,None,AZ/US
asu20,1/10 to 1/13,2020,Tempe,AZ/US
asu21,1/8 to 1/10,2021,NSDA Campus,AZ/US
bethelpark17,2/10 to 2/11,2017,Bethel Park,PA/US
bethelpark18,2/9 to 2/10,2018,Bethel Park,PA/US
bethelpark19,2/8 to 2/11,2019,Bethel Park,PA/US
bethelpark20,2/7 to 2/9,2020,Bethel Park,PA/US
blake15,12/18 to 12/20,2015,None,MN/US
blake16,12/16 to 12/18,2016,None,MN/US
blake17,12/15 to 12/17,2017,Minneapolis,MN/US
blake18,12/14 to 12/16,2018,None,MN/US
blake19,12/20 to 12/22,2019,Minneapolis,MN/US
blake20,12/18 to 12/22,2020,Online,MN/US
bluekey19,11/1 to 11/3,2019,Gainesville,FL/US
bluekey20,10/30 to 11/1,2020,Online,FL/US
bronx15,10/16 to 10/18,2015,None,NY/US
bronx16,10/14 to 10/16,2016,None,NY/US
bronx17,10/13 to 10/15,2017,Bronx,New York
bronx18,10/12 to 10/14,2018,Bronx,NY/US
bronx19,10/18 to 10/20,2019,Bronx,New York
bronx20,10/15 to 10/18,2020,NSDA Campus,NY/US
cal15,2/14 to 2/16,2015,None,CA/US
cal16,2/13 to 2/15,2016,None,CA/US
cal17,2/18 to 2/20,2017,None,CA/US
cal18,2/17 to 2/19,2018,Berkeley,CA/US
cal19,2/16 to 2/18,2019,Berkeley,CA/US
cal20,2/15 to 2/17,2020,Berkeley,CA/US
churchill17,1/6 to 1/7,2017,None,TX/US
churchill18,1/5 to 1/6,2018,None,TX/US
churchill19,1/11 to 1/12,2019,San Antonio,TX/US
churchill20,1/10 to 1/11,2020,San Antonio,TX/US
churchill21,1/6 to 1/9,2021,San Antonio,TX/US
colleyville17,2/3 to 2/4,2017,Colleyville,TX/US
colleyville18,2/2 to 2/3,2018,None,TX/US
colleyville19,2/1 to 2/2,2019,Colleyville,TX/US
colleyville20,1/31 to 2/1,2020,Colleyville,TX/US
columbia15,1/23 to 1/25,2015,None,NY/US
columbia16,3/4 to 3/6,2016,None,NY/US
columbia17,1/20 to 1/22,2017,New York,NY/US
columbia18,1/19 to 1/21,2018,None,NY/US
columbia19,1/25 to 1/27,2019,New York,NY/US
columbia20,1/24 to 1/26,2020,New York,NY/US
cps15,12/19 to 12/20,2015,None,CA/US
cps16,12/17 to 12/18,2016,Oakland,CA/US
cps17,12/16 to 12/17,2017,Oakland,CA
cps18,12/22 to 12/23,2018,Oakland,CA
cps19,12/21 to 12/22,2019,Oakland,CA
cps20,12/18 to 12/20,2020,Online,CA/US
cypress16,11/12 to 11/13,2016,Weston,FL/US
cypress17,10/7 to 10/8,2017,None,FL/US
cypress18,11/10 to 11/11,2018,Weston,FL/US
cypress19,11/9 to 11/10,2019,Weston/Online,FL/US
cypress20,11/14 to 11/15,2020,Nsda Campus,US
dowling17,12/8 to 12/10,2017,West Des Moines,IA/US
dowling18,12/7 to 12/9,2018,Des Moines,IA/US
dowling19,12/13 to 12/15,2019,West Des Moines,IA/US
dowling20,12/11 to 12/13,2020,Online,IA/US
duke19,10/5,2019,Durham,NC
duke20,9/19 to 9/20,2020,NSDA Campus,US
durham19,1/19 to 1/21,2019,Durham,NC/US
durham20,1/18 to 1/20,2020,Durham,NC/US
emory16,1/29 to 1/31,2016,None,GA/US
emory17,1/27 to 1/29,2017,Atlanta,GA/US
emory18,1/26 to 1/28,2018,Atlanta,GA/US
emory19,1/25 to 1/27,2019,Atlanta,GA/US
emory20,1/24 to 1/26,2020,Atlanta,GA/US
glenbrooks15,11/21 to 11/23,2015,None,IL/US
glenbrooks16,11/19 to 11/23,2016,Northbrook,IL/US
glenbrooks17,11/18 to 11/20,2017,Northbrook and Glenview,IL/US
glenbrooks18,11/17 to 11/19,2018,Northbrook and Glenview,IL/US
glenbrooks19,11/23 to 11/25,2019,Northbrook and Glenview,IL/US
glenbrooks20,11/21 to 11/23,2020,Classrooms.Cloud,IL/US
goldendesert15,1/31 to 2/2,2015,None,NV/US
goldendesert16,2/6 to 2/8,2016,None,NV/US
goldendesert17,2/4 to 2/6,2017,None,NV/US
goldendesert18,2/3 to 2/5,2018,Las Vegas,NV/US
goldendesert19,2/2 to 2/4,2019,Las Vegas,NV/US
goldendesert20,2/1 to 2/3,2020,Las Vegas,NV/US
grapevine15,9/11 to 9/12,2015,None,TX/US
grapevine16,9/9 to 9/10,2016,None,TX/US
grapevine17,9/8 to 9/9,2017,Grapevine,TX/US
grapevine18,9/7 to 9/8,2018,Grapevine High School,TX/US
grapevine19,9/6 to 9/7,2019,GRAPEVINE,TX/US
grapevine20,9/11 to 9/15,2020,Online,US
greenhill14,9/20 to 9/22,2014,None,TX/US
greenhill15,9/19 to 9/21,2015,None,TX/US
greenhill16,9/17 to 9/19,2016,Addison,TX/US
greenhill17,9/16 to 9/18,2017,Addison,TX/US
greenhill18,9/13 to 9/17,2018,Dallas,TX/US
greenhill19,9/12 to 9/16,2019,Addison,TX/US
greenhill20,9/17 to 9/21,2020,Addison,TX/US
harvard14,2/13 to 2/17,2014,None,MA/US
harvard16,2/11 to 2/15,2016,None,MA/US
harvard17,2/18 to 2/20,2017,None,MA/US
harvard18,2/17 to 2/19,2018,Cambridge,MA/US
harvard19,2/15 to 2/18,2019,Cambridge,MA/US
harvard20,2/13 to 2/17,2020,Cambridge,MA/US
heritagehall16,1/16 to 1/18,2016,None,OK/US
heritagehall17,10/20 to 10/23,2017,Oklahoma City,OK/US
heritagehall18,10/20 to 10/22,2018,Oklahoma City,OK/US
heritagehall19,2/1 to 2/2,2019,Colleyville,TX/US
heritagehall20,1/31 to 2/1,2020,Colleyville,TX/US
heritagehall21,2/4 to 2/7,2021,NSDA Campus,TX/US
holycross15,10/2 to 10/3,2015,None,LA/US
holycross16,9/30 to 10/1,2016,None,LA/US
holycross17,9/29 to 9/30,2017,New Orleans,LA/US
holycross18,9/28 to 9/29,2018,New Orleans,LA/US
holycross19,9/27 to 9/28,2019,New Orleans,LA/US
holycross20,9/24 to 9/27,2020,NSDA Campus,LA/US
houston15,1/2 to 1/3,2015,None,TX/US
houston16,1/6 to 1/7,2017,Houston,TX/US
houston17,1/6 to 1/7,2017,Houston,TX/US
houston18,1/12 to 1/13,2018,Houston,TX/US
houston19,1/11 to 1/12,2019,Houston,TX/US
houston20,1/10 to 1/11,2020,Houston,TX/US
houston21,1/14 to 1/17,2021,Online,TX/US
hwestlake15,1/2 to 1/5,2015,None,CA/US
hwestlake16,1/14 to 1/18,2016,None,CA/US
hwestlake17,1/12 to 1/16,2017,Los Angeles,CA/US
hwestlake18,1/11 to 1/15,2018,Los Angeles,CA/US
hwestlake19,1/17 to 1/21,2019,Los Angeles,CA/US
hwestlake20,1/16 to 1/20,2020,Los Angeles,CA/US
isidore16,12/9 to 12/11,2016,New Orleans,LA/US
isidore17,12/8 to 12/10,2017,New Orleans,LA/US
isidore18,12/7 to 12/9,2018,New Orleans,LA/US
isidore19,12/13 to 12/15,2019,New Orleans,LA/US
isidore20,12/11 to 12/13,2020,NSDA Campus,LA/US
lewisandclark17,3/17 to 3/19,2017,Atlanta,GA/US
lewisandclark18,1/20 to 1/21,2018,Portland,OR/US
lewisandclark19,1/19 to 1/20,2019,Portland,OR
lewisandclark20,1/18 to 1/19,2020,Portland,OR/US
lex15,1/17 to 1/19,2015,None,MA/US
lex16,1/16 to 1/18,2016,None,MA/US
lex17,1/14 to 1/16,2017,None,MA/US
lex18,1/13 to 1/15,2018,Lexington,MA/US
lex19,1/19 to 1/21,2019,Lexington,MA/US
lex20,1/18 to 1/20,2020,Online,MA/US
longbeach15,9/26 to 9/27,2015,None,CA/US
longbeach16,9/24 to 9/25,2016,Long Beach,CA/US
longbeach17,9/30 to 10/1,2017,Long Beach,CA/US
longbeach18,9/22 to 9/24,2018,Long Beach,CA/US
longbeach19,9/21 to 9/23,2019,Long Beach,CA/US
longbeach20,9/19 to 9/21,2020,NSDA Campus,CA/US
loyola15,9/11 to 9/13,2015,None,CA/US
loyola16,9/10 to 9/12,2016,Los Angeles,CA/US
loyola17,9/8 to 9/10,2017,Los Angeles,CA/US
loyola18,9/7 to 9/9,2018,Los Angeles,CA/US
loyola19,9/6 to 9/8,2019,Los Angeles,CA/US
loyola20,9/5 to 9/7,2020,Los Angeles,CA/US
marks15,10/16 to 10/18,2015,None,TX/US
marks16,10/14 to 10/17,2016,Dallas,TX/US
marks17,10/13 to 10/16,2017,Dallas,TX/US
marks18,10/12 to 10/14,2018,Dallas,TX/US
marks19,10/18 to 10/20,2019,Dallas,TX/US
marlborough18,3/2 to 3/4,2018,None,CA/US
marlborough19,3/1 to 3/3,2019,Los Angeles,CA/US
marlborough20,3/6 to 3/8,2020,Los Angeles,CA/US
meadows15,10/30 to 11/1,2015,None,NV/US
meadows16,10/28 to 10/30,2016,None,NV/US
meadows17,10/27 to 10/29,2017,Las Vegas,NV/US
meadows18,10/26 to 10/28,2018,None,NV/US
meadows19,10/25 to 10/27,2019,Las Vegas NV,NV/US
meadows20,10/31 to 11/2,2020,NSDA Campus,NV/US
middleton15,11/13 to 11/14,2015,None,WI/US
middleton16,11/11 to 11/12,2016,Madison and Middleton,WI/US
middleton17,11/10 to 11/11,2017,None,WI/US
middleton18,11/9 to 11/10,2018,Madison,WI
middleton19,11/15 to 11/16,2019,Madison,WI/US
middleton20,11/13 to 11/15,2020,NSDA Campus (Middleton),WI/US
millardnorth16,2/19 to 2/21,2016,None,NE/US
millardnorth17,2/17 to 2/19,2017,None,NE/US
millardnorth18,2/16 to 2/17,2018,Omaha,NE/US
millardnorth19,2/15 to 2/16,2019,Omaha,NE/US
millardnorth20,2/21 to 2/23,2020,Omaha,NE/US
myerspark20,1/10 to 1/11,2020,Charlotte,NC/US
myerspark21,1/9 to 1/10,2021,NSDA Campus,NC/US
newark15,1/8 to 1/10,2015,None,US
newark16,1/7 to 1/9,2016,None,NJ/US
newark17,1/5 to 1/7,2017,None,NJ/US
newark18,1/4 to 1/6,2018,Newark,NJ/US
newark19,1/3 to 1/5,2019,Newark,NJ
newark20,1/9 to 1/12,2020,Newark,NJ/US
newark21,1/8 to 1/10,2021,NSDA Campus,NJ/US
northalleghany20,1/11 to 1/13,2020,Wexford,PA/US
northalleghany21,1/9 to 1/10,2021,NSDA Campus,PA/US
notredame15,3/6 to 3/8,2015,None,CA/US
notredame16,11/3 to 11/7,2016,None,CA/US
notredame17,11/2 to 11/6,2017,Sherman Oaks,CA/US
notredame18,11/1 to 11/5,2018,Los Angeles,CA
notredame19,10/31 to 11/4,2019,Los Angeles - Notre Dame HS,Ha
notredame20,11/7 to 11/9,2020,NSDA Campus,CA/US
peninsula17,1/27 to 1/28,2017,Peninsula High School,WA/US
peninsula18,1/19 to 1/21,2018,Rolling Hills Estates,CA/US
peninsula19,1/12 to 1/14,2019,Rolling Hills,CA/US
peninsula20,1/11 to 1/13,2020,Rolling Hills Estates,CA/US
penn15,2/14 to 2/15,2015,None,PA/US
penn16,2/13 to 2/14,2016,None,PA/US
penn17,2/10 to 2/12,2017,None,PA/US
penn18,2/9 to 2/11,2018,Philadelphia,PA/US
penn19,2/8 to 2/10,2019,Philadelphia,PA/US
penn20,2/7 to 2/9,2020,Philadelphia,PA/US
penn21,2/12 to 2/14,2021,Philadelphia / Online,PA/US
presentation15,10/9 to 10/12,2015,San Jose,CA/US
presentation16,10/7 to 10/10,2016,San Jose,CA
presentation17,10/6 to 10/9,2017,San Jose,CA/US
presentation18,10/5 to 10/8,2018,San Jose,CA/US
presentation19,10/11 to 10/14,2019,San Jose,CA/US
presentation20,10/5 to 10/12,2020,classrooms.cloud,CA/US
princeton15,12/4 to 12/6,2015,None,NJ/US
princeton16,12/2 to 12/4,2016,None,NJ/US
princeton17,12/1 to 12/3,2017,Princeton,NJ/US
princeton18,11/30 to 12/2,2018,Princeton,NJ/US
princeton19,12/6 to 12/8,2019,Princeton,NJ/US
princeton20,12/3 to 12/6,2020,NSDA Campus,NJ/US
pugetsound16,1/8 to 1/9,2016,None,WA/US
