Name,URL
alta17,7551
alta18,10197
alta19,12861
alta20,15129
applevalley17,7975
applevalley18,10560
applevalley19,13417
applevalley20,16856
asu18,7003
asu19,10037
asu20,12918
badgerland17,7948
badgerland18,11050
badgerland19,13652
badgerland,17711
bethelpark17,6136
bethelpark18,9154
bethelpark19,11529
bethelpark20,14584
blake17,8561
blake18,10519
blake19,14015
blake20,17785
bluekey19,12944
bluekey20,16182
bronx17,7543
bronx18,8739
bronx19,11596
bronx20,15710
cal18,8476
cal19,10274
cal20,13822
churchill18,9158
churchill19,12159
churchill20,15264
colleyville18,9473
colleyville19,11616
colleyville20,15530
columbia18,9079
columbia19,11622
columbia20,14328
cps17,8101
cps18,10813
cps19,13063
cps20,16884
cypress17,7557
cypress18,10196
cypress19,14049
cypress20,16462
damus17,7843
damus18,10100
damus19,13078
damus20,16689
dowling17,7734
dowling18,10569
dowling19,13816
dowling20,16764
durham19,10081
durham20,12901
emory17,5978
emory18,7663
emory19,10796
emory20,13465
glenbrooks17,7581
glenbrooks18,9270
glenbrooks19,12924
glenbrooks20,14991
goldendesert17,6405
goldendesert18,8881
goldendesert19,11447
goldendesert20,13057
grapevine17,8134
grapevine18,10621
grapevine19,13121
grapevine20,16616
greenhill17,7627
greenhill18,10561
greenhill19,13327
greenhill20,16788
harvard17,6681
harvard18,9051
harvard19,10663
harvard20,13670
heritage17,7601
heritage18,10099
heritage19,11616
heritage20,15530
heritage21,18206
holycross17,7671
holycross18,10192
holycross19,12515
holycross20,15551
houston17,6362
houston18,8994
houston19,10701
houston20,13053
hwestlake17,5792
hwestlake18,8649
hwestlake19,11584
hwestlake20,14709
isidore17,7590
isidore18,10171
isidore19,13523
isidore20,17033
jackhowe17,7272
jackhowe18,10364
jackhowe19,13153
jackhowe20,16814
lex17,6343
lex18,8838
lex19,11552
lex20,13850
longhorn17,8712
longhorn18,11564
longhorn19,14180
longhorn20,16900
loyola17,7730
loyola18,10173
loyola19,13128
loyola20,16678
marks17,10720
marks18,7699
marks19,13406
marlborough18,9609
marlborough19,12350
marlborough20,15643
meadows17,7473
meadows18,10101
meadows19,13073
meadows20,16954
milo17,5860
milo18,7733
milo19,10763
milo20,14190
newark17,6632
newark18,9048
newark19,11784
newark20,15002
peninsula18,7547
peninsula19,9578
peninsula20,13065
penn17,5216
penn18,7723
penn19,11722
penn20,14695
penn21,16429
presentation17,7397
presentation18,10161
presentation19,13090
presentation20,16924
princeton17,8050
princeton18,11044
princeton19,13628
princeton20,16551
ridge17,7847
ridge18,10512
ridge19,13017
ridge20,17113
scarsdale17,8447
scarsdale18,11148
scarsdale19,14095
scarsdale20,17824
stanford17,6364
stanford18,8879
stanford19,11877
stanford20,14838
strake17,8699
strake18,11400
strake19,13858
strake20,18196
uk17,7171
uk18,10038
uk19,13037
uk20,16315
ups17,18749
ups18,8697
ups19,11652
ups20,13932
valley17,7831
valley18,10610
valley19,13417
valley20,16799
ward17,5824
ward18,9013
ward19,11696
ward20,13050
yale17,7788
yale18,10180
yale19,13112
yale20,16790
