Name,URL
dowling20,16764
dowling19,13816
strake20,18196
strake19,13858
applevalley20,16856
applevalley19,13417
bronx20,15710
bronx19,11596
glenbrooks19,12924
glenbrooks20,14991
greenhill19,13327
greenhill20,16788
valley19,13453
valley20,16799
grapevine20,16616
grapevine19,13121
loyola19,13128
loyola20,16678
meadows20,16954
meadows19,13073
presentation19,13090
presentation20,16924
yale19,13112
yale20,16790
alta20,15129
alta19,12861
holycross19,12515
holycross20,15551
isidore20,17033
isidore19,13523
jackhowe19,13153
jackhowe20,16814
princeton19,13628
princeton20,16551
scarsdale20,17824
scarsdale19,14095
UT19,14180
UT20,16900
