Name,URL
alta15,4187
alta16,5761
alta17,7551
alta18,10197
alta19,12861
alta20,15129
applevalley15,4202
applevalley16,5793
applevalley17,7975
applevalley18,10560
applevalley19,13417
applevalley20,16856
arthurschool20,14971
asu16,3884
asu17,5490
asu18,7003
asu19,10037
asu20,12918
asu21,18419
bethelpark17,6136
bethelpark18,9154
bethelpark19,11529
bethelpark20,14584
blake15,4463
blake16,5657
blake17,8561
blake18,10519
blake19,14015
blake20,17785
bluekey19,12944
bluekey20,16182
bronx15,3820
bronx16,5437
bronx17,7543
bronx18,8739
bronx19,11596
bronx20,15710
cal15,3024
cal16,4278
cal17,5900
cal18,8476
cal19,10274
cal20,13822
churchill17,6819
churchill18,9158
churchill19,12159
churchill20,15264
churchill21,17809
colleyville17,6859
colleyville18,9473
colleyville19,11616
colleyville20,15530
columbia15,3339
columbia16,5067
columbia17,6556
columbia18,9079
columbia19,11622
columbia20,14328
cps15,4139
cps16,5706
cps17,8101
cps18,10813
cps19,13063
cps20,16884
cypress16,5892
cypress17,7557
cypress18,10196
cypress19,14049
cypress20,16462
dowling17,7734
dowling18,10569
dowling19,13816
dowling20,16764
duke19,12984
duke20,16404
durham19,10081
durham20,12901
emory16,4327
emory17,5978
emory18,7663
emory19,10796
emory20,13465
glenbrooks15,4745
glenbrooks16,6158
glenbrooks17,7581
glenbrooks18,9270
glenbrooks19,12924
glenbrooks20,14991
goldendesert15,3550
goldendesert16,4279
goldendesert17,6405
goldendesert18,8881
goldendesert19,11447
goldendesert20,13057
grapevine15,4199
grapevine16,5742
grapevine17,8134
grapevine18,10621
grapevine19,13121
grapevine20,16616
greenhill14,3678
greenhill15,4029
greenhill16,5697
greenhill17,7627
greenhill18,10561
greenhill19,13327
greenhill20,16788
harvard14,2686
harvard16,5052
harvard17,6681
harvard18,9051
harvard19,10663
harvard20,13670
heritagehall16,4022
heritagehall17,7601
heritagehall18,10099
heritagehall19,11616
heritagehall20,15530
heritagehall21,18206
holycross15,3707
holycross16,4959
holycross17,7671
holycross18,10192
holycross19,12515
holycross20,15551
houston15,3254
houston16,6362
houston17,6362
houston18,8994
houston19,10701
houston20,13053
houston21,17392
hwestlake15,2819
hwestlake16,4169
hwestlake17,5792
hwestlake18,8649
hwestlake19,11584
hwestlake20,14709
isidore16,5718
isidore17,7590
isidore18,10171
isidore19,13523
isidore20,17033
lewisandclark17,5824
lewisandclark18,9013
lewisandclark19,11696
lewisandclark20,14556
lex15,3233
lex16,4670
lex17,6343
lex18,8838
lex19,11552
lex20,13850
longbeach15,4314
longbeach16,6014
longbeach17,7272
longbeach18,10364
longbeach19,13153
longbeach20,16814
loyola15,3907
loyola16,5526
loyola17,7730
loyola18,10173
loyola19,13128
loyola20,16678
marks15,3980
marks16,5429
marks17,7699
marks18,10720
marks19,13406
marlborough18,9609
marlborough19,12350
marlborough20,15643
meadows15,3872
meadows16,5472
meadows17,7473
meadows18,10101
meadows19,13073
meadows20,16954
middleton15,4125
middleton16,5799
middleton17,7948
middleton18,11050
middleton19,13652
middleton20,17711
millardnorth16,3888
millardnorth17,5860
millardnorth18,7733
millardnorth19,10763
millardnorth20,14190
myerspark20,14471
myerspark21,18572
newark15,3327
newark16,4626
newark17,6632
newark18,9048
newark19,11784
newark20,15002
newark21,18855
northalleghany20,14021
northalleghany21,17304
notredame15,3534
notredame16,5438
notredame17,7843
notredame18,10100
notredame19,13078
notredame20,16689
peninsula17,6788
peninsula18,7547
peninsula19,9578
peninsula20,13065
penn15,2813
penn16,3853
penn17,5216
penn18,7723
penn19,11722
penn20,14695
penn21,16429
presentation15,4092
presentation16,5747
presentation17,7397
presentation18,10161
presentation19,13090
presentation20,16924
princeton15,4043
princeton16,5901
princeton17,8050
princeton18,11044
princeton19,13628
princeton20,16551
pugetsound16,4635
pugetsound17,18749
pugetsound18,8697
pugetsound19,11652
pugetsound20,13932
rideg15,4007
ridge16,5762
ridge17,7847
ridge18,10512
ridge19,13017
ridge20,17113
scarsdale15,3914
scarsdale16,6246
scarsdale17,8447
scarsdale18,11148
scarsdale19,14095
scarsdale20,17824
seattle19,13689
seattle20,16426
stanford15,3593
stanford16,4131
stanford17,6364
stanford18,8879
stanford19,11877
stanford20,14838
strake15,4540
strake16,6183
strake17,8699
strake18,11400
strake19,13858
strake20,18196
sunvite20,13222
sunvite21,16458
uk17,7171
uk18,10038
uk19,13037
uk20,16315
UT15,3576
UT16,5716
UT17,8712
UT18,11564
UT19,14180
UT20,16900
valley16,4354
valley17,7831
valley18,10610
valley19,13417
valley20,16799
yale14,2732
yale15,3843
yale16,5393
yale17,7788
yale18,10180
yale19,13112
yale20,16790
