Name,URL
alta17,7551
alta18,10197
applevalley17,7975
applevalley18,10560
asu18,7003
asu19,10037
badgerland17,7948
badgerland18,11050
bethelpark18,9154
bethelpark19,11529
blake17,8561
blake18,10519
bronx17,7543
bronx18,8739
cal18,8476
cal19,10274
churchill18,9158
churchill19,12159
colleyville18,9473
colleyville19,11616
columbia18,9079
columbia19,11622
cps17,8101
cps18,10813
cypress17,7557
cypress18,10196
damus17,7843
damus18,10100
dowling17,7734
dowling18,10569
durham19,10081
emory18,7663
emory19,10796
glenbrooks17,7581
glenbrooks18,9270
goldendesert18,8881
goldendesert19,11447
grapevine17,8134
grapevine18,10621
greenhill17,7627
greenhill18,10561
harvard18,9051
harvard19,10663
heritage17,7601
heritage18,10099
holycross17,7671
holycross18,10192
houston18,8994
houston19,10701
hwestlake18,8649
hwestlake19,11584
isidore17,7590
isidore18,10171
jackhowe17,7272
jackhowe18,10364
lex18,8838
lex19,11552
longhorn17,8712
longhorn18,11564
loyola17,7730
loyola18,10173
marks17,10720
marks18,7699
marlborough18,9609
marlborough19,12350
meadows17,7473
meadows18,10101
milo18,7733
milo19,10763
newark18,9048
newark19,11784
peninsula18,7547
peninsula19,9578
penn18,7723
penn19,11722
presentation17,7397
presentation18,10161
princeton17,8050
princeton18,11044
ridge17,7847
ridge18,10512
scarsdale17,8447
scarsdale18,11148
stanford18,8879
stanford19,11877
strake17,8699
strake18,11400
uk17,7171
uk18,10038
ups18,8697
ups19,11652
valley17,7831
valley18,10610
ward18,9013
ward19,11696
yale17,7788
yale18,10180
