code,fullname,shorthand,results17,results18,id17,id18,fall
grapevine,***Grapevine (TX),Grapevine,https://www.tabroom.com/index/tourn/results/debate_cumesheet.mhtml?event_id=68037&tourn_id=8134,https://www.tabroom.com/index/tourn/results/debate_cumesheet.mhtml?event_id=87747&tourn_id=10621,8134,10621,y
loyola,***Loyola Invitational,Loyola,https://www.tabroom.com/index/tourn/results/event_results.mhtml?tourn_id=7730&result_id=43827,https://www.tabroom.com/index/tourn/results/debate_cumesheet.mhtml?event_id=85889&tourn_id=10173,7730,10173,y
uk,*University of Kentucky (KY),UK Season Opener,https://www.tabroom.com/index/tourn/results/event_results.mhtml?tourn_id=7171&result_id=43850,https://www.tabroom.com/index/tourn/results/event_results.mhtml?tourn_id=10038&result_id=69848,7171,10038,y
yale,***Yale (CT),Yale,https://www.tabroom.com/index/tourn/results/event_results.mhtml?tourn_id=7788&result_id=43926,https://www.tabroom.com/index/tourn/results/debate_cumesheet.mhtml?event_id=87129&tourn_id=10180,7788,10180,y
greenhill,****Greenhill (TX),Greenhill,https://www.tabroom.com/index/tourn/results/debate_cumesheet.mhtml?event_id=65071&tourn_id=7627,https://www.tabroom.com/index/tourn/results/debate_cumesheet.mhtml?event_id=87328&tourn_id=10561,7627,10561,y
jackhowe,**Long Beach (CA),Jack Howe Memorial,https://www.tabroom.com/index/tourn/results/debate_cumesheet.mhtml?event_id=63384&tourn_id=7272,https://www.tabroom.com/index/tourn/results/debate_cumesheet.mhtml?event_id=86603&tourn_id=10364,7272,10364,y
valley,****Valley (IA),Mid America Cup,https://www.tabroom.com/index/tourn/results/event_results.mhtml?tourn_id=7831&result_id=44254,https://www.tabroom.com/index/tourn/results/event_results.mhtml?tourn_id=10610&result_id=69976,7831,10610,y
holycross,**Holy Cross (LA),Holy Cross,https://www.tabroom.com/index/tourn/results/event_results.mhtml?tourn_id=7671&result_id=44519,https://www.tabroom.com/index/tourn/results/debate_cumesheet.mhtml?event_id=85897&tourn_id=10192,7671,10192,y
presentation,***Presentation (CA),Presentation Voices,https://www.tabroom.com/index/tourn/results/event_results.mhtml?tourn_id=7397&result_id=45294,https://www.tabroom.com/index/tourn/results/event_results.mhtml?tourn_id=10161&result_id=71440,7397,10161,y
heritage,*Heritage Hall (OK),JW Patterson,https://www.tabroom.com/index/tourn/results/debate_cumesheet.mhtml?event_id=67206&tourn_id=7601,https://www.tabroom.com/index/tourn/results/debate_cumesheet.mhtml?event_id=85318&tourn_id=10099,7601,10099,y
marks,****St. Mark’s (TX),Heart of Texas,https://www.tabroom.com/index/tourn/results/debate_cumesheet.mhtml?event_id=88613&tourn_id=10720,https://www.tabroom.com/index/tourn/results/debate_cumesheet.mhtml?event_id=66256&tourn_id=7699,10720,7699,y
bronx,****Bronx Science (NY),Big Bronx,PDF,PDF,7543,8739,y
meadows,***Meadows (NV),Meadows,https://www.tabroom.com/index/tourn/results/debate_cumesheet.mhtml?event_id=67024&tourn_id=7473,https://www.tabroom.com/index/tourn/results/debate_cumesheet.mhtml?event_id=85326&tourn_id=10101,7473,10101,y
damus,**Notre Dame (CA),Damus Hollywood,https://www.tabroom.com/index/tourn/results/debate_cumesheet.mhtml?event_id=66703&tourn_id=7843,https://www.tabroom.com/index/tourn/results/debate_cumesheet.mhtml?event_id=85323&tourn_id=10100,7843,10100,y
applevalley,****Apple Valley (MN),MinneApple,https://www.tabroom.com/index/tourn/results/event_results.mhtml?tourn_id=7975&result_id=48838,https://www.tabroom.com/index/tourn/results/event_results.mhtml?tourn_id=10560&result_id=74070,7975,10560,y
scarsdale,**Scarsdale (NY),Scarsdale,https://www.tabroom.com/index/tourn/results/event_results.mhtml?tourn_id=8447&result_id=49965,https://www.tabroom.com/index/tourn/results/debate_cumesheet.mhtml?event_id=92555&tourn_id=11148,8447,11148,y
cypress,*Cypress Bay (FL),Tradition,https://www.tabroom.com/index/tourn/results/debate_cumesheet.mhtml?event_id=64674&tourn_id=7557,https://www.tabroom.com/index/tourn/results/debate_cumesheet.mhtml?event_id=85919&tourn_id=10196,7557,10196,y
badgerland,*Middleton (WI),Badgerland,https://www.tabroom.com/index/tourn/results/event_results.mhtml?tourn_id=7948&result_id=50686,https://www.tabroom.com/index/tourn/results/event_results.mhtml?tourn_id=11050&result_id=75869,7948,11050,y
glenbrooks,****Glenbrooks (IL),Glenbrooks GBX,https://www.tabroom.com/index/tourn/results/debate_cumesheet.mhtml?event_id=64814&tourn_id=7581,https://www.tabroom.com/index/tourn/results/debate_cumesheet.mhtml?event_id=78471&tourn_id=9270,7581,9270,y
alta,**Alta (UT),Alta,https://www.tabroom.com/index/tourn/results/debate_cumesheet.mhtml?event_id=64659&tourn_id=7551,https://www.tabroom.com/index/tourn/results/debate_cumesheet.mhtml?event_id=85928&tourn_id=10197,7551,10197,y
princeton,**Princeton (NJ),Princeton,https://www.tabroom.com/index/tourn/results/event_results.mhtml?tourn_id=8050&result_id=53157,PDF,8050,11044,y
longhorn,**University of Texas (TX),Longhorn,https://www.tabroom.com/index/tourn/results/debate_cumesheet.mhtml?event_id=73222&tourn_id=8712,https://www.tabroom.com/index/tourn/results/event_results.mhtml?tourn_id=11564&result_id=78862,8712,11564,y
dowling,*Dowling Catholic (IA),Paradigm,https://www.tabroom.com/index/tourn/results/debate_cumesheet.mhtml?event_id=67685&tourn_id=7734,https://www.tabroom.com/index/tourn/results/event_results.mhtml?tourn_id=10569&result_id=79845,7734,10569,y
isidore,**Isidore Newman (LA),Isidore Newman,https://www.tabroom.com/index/tourn/results/event_results.mhtml?tourn_id=7590&result_id=53813,https://www.tabroom.com/index/tourn/results/debate_cumesheet.mhtml?event_id=85779&tourn_id=10171,7590,10171,y
ridge,*Ridge (NJ),The Ridge Debates (NOT Ridge Invitational),PDF,https://www.tabroom.com/index/tourn/results/event_results.mhtml?tourn_id=10512&result_id=78843,7847,10512,y
blake,***Blake (MN),Blake,https://www.tabroom.com/index/tourn/results/event_results.mhtml?tourn_id=8561&result_id=54562,https://www.tabroom.com/index/tourn/results/debate_cumesheet.mhtml?event_id=87117&tourn_id=10519,8561,10519,y
strake,**Strake Jesuit (TX),Strake,https://www.tabroom.com/index/tourn/results/event_results.mhtml?tourn_id=8699&result_id=54557,https://www.tabroom.com/index/tourn/results/ranked_list.mhtml?event_id=95124&tourn_id=11400,8699,11400,y
cps,***College Prep (CA),College Prep,https://www.tabroom.com/index/tourn/results/debate_cumesheet.mhtml?event_id=67437&tourn_id=8101,https://www.tabroom.com/index/tourn/results/debate_cumesheet.mhtml?event_id=89366&tourn_id=10813,8101,10813,y
newark,**Newark (NJ),Newark,https://www.tabroom.com/index/tourn/results/event_results.mhtml?tourn_id=9048&result_id=54882,https://www.tabroom.com/index/tourn/results/event_results.mhtml?tourn_id=11784&result_id=86101,9048,11784,n
