School Name,Entries
AM Consolidated,0
Abernathy,0
ACORN Community,0
Advanced Technologies Academy,1
Agape Leaders Prep,0
Airline,1
Albuquerque Academy,4
Alpharetta,8
Alpine,0
Alta,0
Amicitia,2
Anderson,0
Andrew,1
Appleton East,2
Appleton,0
Arabia Mountain,0
Arapahoe,2
Arcadia,0
Archbishop Mitty,5
Ardrey Kell,0
Arroyo Grande,1
Ashland,3
Asian Debate League,1
Athens,2
Atholton,0
Austin SFA,1
Bakersfield,2
Balboa,0
Ballard,0
Baltimore City College,4
Barbers Hill,3
Barstow,11
BASIS Chandler,6
BASIS DC,0
Beacon,0
Beacon Academy,0
Beckman,1
Bellarmine,4
Belton,1
Bentonville,4
Berkeley Prep,5
Berkner High School,0
Bethel Park,0
Bexley,0
Bingham,2
Bishop Guertin,0
Bishop Kelly,0
Bishop Loughlin,0
Bishop O'Dowd,0
Blaine,0
Blake,2
Bloomington,0
Blue Springs,0
Blue Valley North,8
Blue Valley Northwest,8
Blue Valley Southwest,16
Blue Valley West,4
Bolivar,1
Bonneville,0
Boston Debate League,5
Boston Latin,5
Bravo Medical,1
Brentwood,0
Briar Woods,0
Brighton,2
Broad Run,0
Bronx Law,0
Bronx Science,9
Brooklyn Technical,15
Brophy College Prep,2
Brown,0
Buhler,0
Byron Nelson,0
C.E. Byrd,0
Cabot,4
Caddo Magnet,8
