School Name,Entries
Aberdeen Central (SD),0
Academy of Higher Learning (CA),0
Acton-Boxborough (MA),8
Advanced Technologies Academy (NV),4
Albany (CA),0
Albuquerque Academy (NM),0
Alief Taylor (TX),18
All Saints Episcopal (TX),1
Allen Homeschool (TX),1
Altamont (AL),1
AM Consolidated (TX),0
American Heritage Boca Delray (FL),2
American Heritage Plantation (FL),8
Amicitia (MA),0
Anderson (TX),5
Annie Wright (WA),0
Apple Valley (MN),3
Appleton East (WI),3
Arbor View (NV),0
Arcadia (CA),4
Archbishop Mitty (CA),7
Ardrey Kell (NC),0
Arizona College Prep (AZ),4
Arroyo Grande (CA),1
Ashland (OR),2
Athens (TX),2
Auburn (AL),1
Austin SFA (TX),3
Bainbridge (WA),0
Bakersfield (CA),0
Bansal Homeschool (TX),0
Barbers Hill (TX),0
Barrington (IL),0
BASIS Mesa (AZ),2
BASIS Phoenix (AZ),5
BASIS Scottsdale (AZ),0
BASIS Shavano (TX),7
BASIS Silicon (CA),1
Baton Rouge Magnet (LA),0
Beckman (CA),6
Bellaire (TX),0
Bellarmine (CA),6
Bellingham United (WA),1
Benjamin Franklin (LA),0
Benjamin N Cardozo (NY),0
Bentonville (AR),1
Bentonville West (AR),3
Bergen County (NJ),4
Bettendorf (IA),0
Bingham (UT),1
BK Prep (TX),1
Blair Academy (NJ),2
Blue Valley Southwest (KS),0
Bolivar (MO),0
Bolton (LA),1
Brentwood (CA),16
Brentwood Middle (CA),0
Bridgewater-Raritan (NJ),0
Bronx Science (NY),22
Brookline (MA),0
Brophy College Prep (AZ),2
Brown (KY),0
Byram Hills (NY),4
Byron Nelson (TX),0
Cabot (AR),6
Calhoun Homeschool (TX),0
Cambridge Rindge (MA),2
Canyon Crest (CA),11
Canyon Springs (NV),0
Cape Fear Academy (NC),0
Carmel (IN),1
Carmel Valley Independent (CA),11
Carnegie Vanguard (TX),1
Carpe Diem (NJ),0
Cary Academy (NC),0
Catalina Foothills (AZ),0
Catonsville (MD),1
Cedar Park (TX),0
Cedar Ridge (TX),0
Centennial (ID),2
Centennial (TX),1
Center For Talented Youth (MD),0
Cerritos (CA),0
Chaminade (CA),0
Chaminade (NY),5
Chandler (AZ),0
Chandler Prep (AZ),1
Chantilly (VA),2
Chaparral (AZ),0
Charles E Smith (MD),0
Charlotte Catholic (NC),3
Charlotte Latin (NC),0
Chatfield (CO),4
Cherokee (GA),5
Cherokee (OK),0
Cherry Creek (CO),1
Christ Episcopal (LA),0
Christopher Columbus (FL),0
Citrus Valley (CA),0
Claremont (CA),3
Clark (NV),0
Clark (TX),0
Clear Brook (TX),0
Clear Lake (TX),0
Clements (TX),2
Clovis North (CA),0
College Prep (CA),0
Collegiate (NY),2
Colleyville Heritage (TX),4
Concord Carlisle (MA),0
Concordia Lutheran (TX),0
Connally (TX),2
Cooper City (FL),3
Coppell 9th (TX),1
Coral Glades (FL),0
Coral Science (NV),0
Coral Springs (FL),0
Coppell (TX),2
Copper Hills (UT),1
Corona Del Sol (AZ),0
Cosby (VA),1
Crandall (TX),0
Crescenta Valley (CA),1
Crosby (TX),0
Crossings Christian (OK),0
Crossroads (CA),0
CTCS (TX),1
Cupertino (CA),1
Cy-Fair (TX),0
Cypress Bay (FL),11
Cypress Falls (TX),1
Cypress Lakes (TX),0
Cypress-Ranch (TX),2
Cypress Ridge (TX),0
Cypress Springs (TX),0
Cypress Woods (TX),5
Cyprus (UT),0
Dallastown (PA),2
Davis (CA),4
Davis (UT),0
Decatur Heritage (AL),1
Delbarton (NJ),0
Denver East (CO),5
Derby (KS),0
Des Moines Roosevelt (IA),0
Desert Vista (AZ),5
Diamond Bar (CA),0
Dobson (AZ),0
Dougherty Valley (CA),26
Dowling Catholic (IA),0
DN Independent (CA),1
Dripping Springs (TX),2
Duchesne Academy (TX),2
Dulles (TX),14
duPont Manual (KY),3
Durham Academy (NC),1
Dwyer (FL),5
Eagan (MI),9
Eagle (ID),2
Eastlake (WA),1
Eastside (WA),4
Eastside Catholic (WA),0
Eastview (MN),3
Edgemont (NY),6
Edina (MN),11
Edmond North (OK),0
Edmond Santa Fe (OK),0
Eisenhower (KS),2
El Cerrito (CA),0
Elite of Irvine (CA),0
Elkins (TX),3
Enloe (NC),4
ESD (TX),4
Euless Trinity (TX),2
Evanston (IL),14
Evergreen Valley (CA),3
Fayetteville (AR),1
Ferris (TX),0
Flintridge Prep (CA),2
Flintridge Sacred Heart (CA),0
Flower Mound (TX),0
Fordham Prep (NY),0
Fort Lauderdale (FL),2
Fort Walton Beach (FL),0
Freehold Township (NJ),3
Fremont (NE),0
Frontier (MO),0
Futures Academy (CA),1
Gabrielino (CA),0
Garland (TX),10
George Ranch (TX),2
George Washington (CO),0
Georgetown Day (DC),0
Gig Harbor (WA),0
Gilmour (OH),0
Glacier Peak (WA),0
Glenbrook South (IL),0
Glencoe (OR),0
Golden State Academy (CA),1
Gonzaga Prep (WA),0
Granada Hills (CA),1
Grand Junction (CO),0
Grapevine (TX),6
Green Canyon (UT),0
Green Valley (NV),0
Greenhill (TX),8
Guyer (TX),1
Halstrom (CA),1
Hamilton (AZ),8
Hamilton (MT),0
Harker (CA),37
Harlingen South (TX),5
Harmony (TX),0
Harrison (NY),10
Harvard Westlake (CA),31
Hattiesburg (MS),1
Haverford (PA),0
Hawken (OH),0
Head Royce (CA),0
Hebron (TX),7
Heights (MD),0
Heights (TX),2
Hendrick Hudson (NY),0
Henry Grady (GA),3
Highland (UT),0
Highland (ID),0
Hill School (PA),2
Hockaday (TX),3
Holy Cross (LA),2
Homewood Flossmoor (IL),0
Hopkins (MN),0
Horizon (AZ),1
Houston Homeschool (TX),0
Hunter College (NY),7
Hutchinson (KS),0
Immaculate Heart (CA),4
Independent (All),5
Interlake (WA),4
Irma Rangel Young Women (TX),1
Isidore Newman (LA),3
Jack C Hays (TX),5
James Bowie (TX),2
Jasper (TX),0
Jefferson City (MO),1
Jenks (OK),2
Jersey Village (TX),0
Joel E Ferris (WA),5
John Marshall (CA),0
Joplin (MO),0
JPII (TX),1
Juan Diego (UT),0
Jupiter (FL),0
Kamiak (WA),1
Kapaun Mount Carmel (KS),0
KAPS (TX),1
Katy (TX),1
Katy Taylor (TX),1
Keller (TX),3
Kempner (TX),0
Kent Denver (CO),9
King (FL),5
Kingwood (TX),0
Kinkaid (TX),5
Klein (TX),0
Klein Oak (TX),0
Kudos College (CA),2
Kugnus Acts (NJ),0
La Canada (CA),0
La Costa Canyon (CA),0
La Jolla (CA),0
La Reina (CA),4
La Salle (CA),0
La Salle College (PA),2
Lafayette (LA),0
Lafayette (MO),0
Lake Highland (FL),17
Lake Travis (TX),12
Lakeville (MN),8
Lamar (TX),1
LAMP (AL),0
Law Magnet (TX),0
Langham Creek (TX),5
Lansing (KS),1
Larcher Independent (TX),1
LaSalle College (PA),0
Lawrence Free State (KS),0
Lawrenceville (NJ),1
Layton (UT),0
Leland (CA),1
Leucadia Independent (CA),0
Lewis and Clark (WA),0
Lexington (MA),21
Liberty Christian (TX),0
Lincoln (OR),5
Lincoln (NE),0
Lincoln East (NE),1
Lincoln North Star (NE),4
Lindale (TX),1
Little Rock Central (AR),4
Livingston (NJ),0
Logan (UT),2
Lone Peak (UT),0
Los Alamos (NM),1
Los Altos (CA),3
Los Osos (CA),2
Louisville (OH),0
Lovejoy (TX),6
Lovett (GA),2
Loyola (CA),12
Loyola Blakefield (MA),0
Lynbrook (CA),14
Maeser Prep (UT),0
Magnet (CA),2
Maize (KS),2
Mannford (OK),0
Marcus (TX),1
Marist (GA),0
Marlborough (CA),23
Marquette (WI),1
Marvin Baker (TX),1
McClintock (AZ),4
McDowell (PA),3
McKinney (TX),0
McMillen (TX),2
McNeil (TX),7
Meadows (NV),13
Melissa (TX),3
Memorial (TX),7
Mesquite (AZ),4
Millard North (NE),8
Millard South (NE),0
Millard West (NE),0
Millburn (NJ),11
Milpitas (CA),2
Milton (GA),1
Minnetonka (MN),2
Mira Loma (CA),4
Miramonte (CA),0
Mission San Jose (CA),6
Mission Vista (CA),0
Modernbrain (CA),2
Monsignor Kelly (TX),1
Monta Vista (CA),7
Montclair Kimberley (NJ),0
Montgomery (TX),3
Montgomery Blair (MD),2
Monticello (NY),0
Montville Township (NJ),3
Morris Hills (NJ),0
Morrison Academy (TW),3
Mount Vernon (WA),1
Mountain Brook (AL),7
Mountain House (CA),0
Mountain Pointe (AZ),0
Mountain View (ID),0
Mountain View (CA),0
Mountain View (AZ),0
Murphy Middle (TX),0
Nashua South (NH),0
NCSSM (NC),0
Needham (MA),0
Neenah (WI),0
New Orleans Jesuit (LA),0
New Trier (IL),0
Newark Science (NJ),0
Newburgh Free Academy (NY),0
Newport (WA),0
Newsome (FL),0
Niskayuna (NY),0
Norman (OK),0
North Allegheny (PA),0
North Crowley (TX),0
North Hollywood (CA),0
North Star Academy (NJ),0
Northland Christian (TX),0
Northview (GA),0
Northwest Career and Technical (NV),0
Northwood (CA),0
Notre Dame (CA),0
Nueva (CA),0
Oak Hall (FL),0
Oak Hill (OR),0
Oakwood (CA),0
Oakwood (OH),0
OCSA Independent (CA),0
Okemos (MI),0
Okoboji (IA),0
Olathe West (KS),0
Orange Lutheran (CA),0
Overlake (WA),0
Oxbridge (FL),0
Oxford (CA),0
Oxford (MS),0
Pace Academy (GA),0
Pacific Hills (CA),0
Pacific Ridge (CA),0
Palm Beach Gardens (FL),0
Palm Harbor (FL),0
Palo Alto Independent (CA),0
Palo Verde (NV),0
Palos Verdes (CA),0
Palos Verdes Peninsula (CA),0
Paradise Valley (AZ),0
Park City (UT),0
Park Crossing (AL),0
Parkview (MO),0
Peak to Peak (CO),0
Pembroke Pines (FL),0
Peninsula (WA),0
Pennsbury (PA),0
Perry (AZ),0
Pflugerville (TX),0
Phillips Academy Andover (MA),0
Phoenix Country Day (AZ),0
Pine Crest (FL),0
Pingry (NJ),0
Pinnacle (AZ),0
Pittsburgh Central Catholic (PA),0
Plano East (TX),0
Plano Senior (TX),0
Plano West (TX),0
Poly Prep (NY),0
Polytechnic (CA),0
Portola (CA),0
Presentation (CA),0
Princeton (NJ),0
Prosper (TX),0
Puyallup (WA),0
Quarry Lane (CA),0
Raisbeck-Aviation (WA),0
Rancho Bernardo (CA),0
Randolph (NJ),0
Reagan (TX),0
Research Triangle (NC),0
Richardson (TX),0
Ridge (NJ),0
Ridge Point (TX),0
Riverside (SC),0
Robert Vela (TX),0
Rosemount (MN),0
Roseville (MN),0
Roslyn (NY),0
Round Rock (TX),0
Rowland Hall (UT),0
Royse City (TX),0
Ruston (LA),0
Sacred Heart (MA),0
Sacred Heart (MS),0
Sage Hill (CA),0
Sage Ridge (NV),0
Salado (TX),0
Salpointe Catholic (AZ),0
Sammamish (WA),0
San Dieguito (CA),0
San Marcos (TX),0
San Marino (CA),0
SandHoke (NC),0
Santa Monica (CA),0
Sarasota (FL),0
Saratoga (CA),0
Scarsdale (NY),0
School of the Woods (TX),0
Sequoia (CA),0
Servite (CA),0
Seven Lakes (TX),0
Shawnee Mission East (KS),0
Shawnee Mission Northwest (KS),0
Shawnee Mission South (KS),0
Shawnee Mission West (KS),0
Shepton (TX),0
Sky View (UT),0
Skyline (UT),0
Smithson Valley (TX),0
Sonoma Academy (CA),0
South Eugene (OR),0
Southlake Carroll (TX),0
Sprague (OR),0
Spring Valley (NV),0
St Agnes (TX),0
St Andrews (MS),0
St Francis (CA),0
St James (AL),0
St Johns (TX),0
St Louis Park (MN),0
St Margarets (CA),0
St Marys Hall (TX),0
St Marys Independent (OR),0
St Petersburg (FL),0
St Pius X (GA),0
St Thomas (MN),0
St Thomas (TX),0
Stanford Online (CA),0
Stephen F Austin (TX),0
Stockdale (CA),0
Stone Bridge (VA),0
Stoneman Douglas (FL),0
Stony Point (TX),0
Strake Jesuit (TX),0
Stratford (TX),0
Stratford Independent (CA),0
Strath Haven (PA),0
Stuyvesant (NY),0
Success Academy (NY),0
Summit (OR),0
Sunnyslope (AZ),0
Sunset (OR),0
Syosset (NY),0
Tahoma (WA),0
