School Name,Entries
Aberdeen Central,0
Academy of Higher Learning,0
Acton-Boxborough,8
Advanced Technologies Academy,4
Albany,0
Albuquerque Academy,0
Alief Taylor,18
All Saints Episcopal,1
Allen Homeschool,1
Altamont,1
AM Consolidated,0
American Heritage Boca Delray,2
American Heritage Plantation,8
Amicitia,0
Anderson,5
Annie Wright,0
Apple Valley,3
Appleton East,3
Arbor View,0
Arcadia,4
Archbishop Mitty,7
Ardrey Kell,0
Arizona College Prep,4
Arroyo Grande,1
Ashland,2
Athens,2
Auburn,1
Austin SFA,3
Bainbridge,0
Bakersfield,0
Bansal Homeschool,0
Barbers Hill,0
Barrington,0
BASIS Mesa,2
BASIS Phoenix,5
BASIS Scottsdale,0
BASIS Shavano,7
BASIS Silicon,1
Baton Rouge Magnet,0
Beckman,6
Bellaire,0
Bellarmine,6
Bellingham United,1
Benjamin Franklin,0
Benjamin N Cardozo,0
Bentonville,1
Bentonville West,3
Bergen County,4
Bettendorf,0
Bingham,1
BK Prep,1
Blair Academy,2
Blue Valley Southwest,0
Bolivar,0
Bolton,1
Brentwood,16
Brentwood Middle,0
Bridgewater-Raritan,0
Bronx Science,22
Brookline,0
Brophy College Prep,2
Brown,0
Byram Hills,4
Byron Nelson,0
Cabot,6
Calhoun Homeschool,0
Cambridge Rindge,0
Canyon Crest,0
Canyon Springs,0
Cape Fear Academy,0
Carmel,0
Carmel Valley Independent,0
Carnegie Vanguard,0
Carpe Diem,0
Cary Academy,0
Catalina Foothills,0
Catonsville,0
Cedar Park,0
Cedar Ridge,0
Centennial,0
Centennial,0
Center For Talented Youth,0
Cerritos,0
Chaminade,0
Chaminade,0
Chandler,0
Chandler Prep,0
Chantilly,0
Chaparral,0
Charles E Smith,0
Charlotte Catholic,0
Charlotte Latin,0
Chatfield,0
Cherokee,0
Cherokee,0
Cherry Creek,0
Christ Episcopal,0
Christopher Columbus,0
Citrus Valley,0
Claremont,0
Clark,0
Clark,0
Clear Brook,0
Clear Lake,0
Clements,0
